0,1,2,3,4,5,6,7,8,9
972.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0
0.0,1125.0,2.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0
4.0,0.0,1016.0,1.0,2.0,0.0,0.0,5.0,4.0,0.0
0.0,0.0,2.0,996.0,0.0,2.0,0.0,3.0,4.0,3.0
0.0,0.0,1.0,0.0,966.0,0.0,4.0,2.0,2.0,7.0
4.0,0.0,0.0,5.0,0.0,875.0,4.0,1.0,2.0,1.0
5.0,3.0,0.0,1.0,5.0,2.0,942.0,0.0,0.0,0.0
0.0,6.0,12.0,1.0,1.0,0.0,0.0,1005.0,1.0,2.0
3.0,0.0,3.0,5.0,0.0,1.0,3.0,3.0,953.0,3.0
3.0,3.0,0.0,5.0,9.0,0.0,0.0,6.0,0.0,983.0
